Timestamp,Which age group do you Belong to?,Deep Cleansing and Moisturizing.,Fruity Smell and Fragrance,Natural/Organic Ingredients,Affordable Price,Germs Killing,Acne and Pimple Fighting,Anti Pollution,How the Packaging of the Soap Influence You?,Detan and glow Enhancing Attribute,Anti aging,Luxury feeling of the soap,Mild or no Fragrance
11/21/2025 19:26:35,18yrs -30 yrs,5,4,5,5,5,4,3,1,5,2,1,5
11/21/2025 19:30:25,18yrs -30 yrs,5,3,3,4,4,4,4,4,4,4,4,4
11/21/2025 19:31:49,18yrs -30 yrs,4,2,4,5,5,4,4,3,3,2,2,3
11/21/2025 19:33:05,18yrs -30 yrs,5,4,4,3,5,4,2,2,4,1,1,1
11/21/2025 20:40:11,18yrs -30 yrs,4,5,5,3,4,4,5,3,4,3,3,4
11/21/2025 20:51:29,18yrs -30 yrs,5,4,5,4,4,4,5,2,2,3,2,3
11/21/2025 21:10:57,Below 18 yrs,5,3,5,3,5,4,4,1,4,3,1,3
11/21/2025 21:15:04,18yrs -30 yrs,5,2,5,5,5,4,5,3,3,3,4,4
11/21/2025 21:22:23,18yrs -30 yrs,5,4,5,5,4,4,3,3,4,4,3,4
11/21/2025 21:32:00,18yrs -30 yrs,1,1,1,1,1,2,5,1,1,1,1,1
11/21/2025 21:44:47,18yrs -30 yrs,4,2,5,3,4,3,3,1,3,3,3,3
11/21/2025 22:14:07,Below 18 yrs,5,5,5,5,5,5,5,5,5,5,5,5
11/21/2025 23:12:48,18yrs -30 yrs,5,3,5,5,5,5,5,4,4,3,2,1
11/22/2025 6:43:51,18yrs -30 yrs,5,2,5,5,5,5,5,3,4,5,5,3
11/22/2025 10:54:06,Below 18 yrs,5,5,5,5,5,1,1,5,5,1,5,5
11/22/2025 11:07:17,18yrs -30 yrs,5,3,5,5,5,5,5,5,5,5,5,5
11/22/2025 16:55:20,18yrs -30 yrs,5,1,5,3,5,3,5,1,5,4,4,5
11/22/2025 19:01:53,18yrs -30 yrs,5,5,3,5,4,4,2,1,2,3,2,1
11/22/2025 19:02:21,18yrs -30 yrs,5,5,5,5,5,5,5,3,5,5,3,3
11/22/2025 21:09:30,18yrs -30 yrs,5,4,5,5,5,5,4,1,5,4,4,1
11/23/2025 10:12:08,Below 18 yrs,5,5,5,5,5,5,5,5,5,5,5,5
11/28/2025 14:59:32,Below 18 yrs,1,5,2,5,2,5,4,4,5,1,3,1
11/28/2025 15:00:30,Above 30 yrs,3,1,4,3,5,2,3,1,3,5,1,4
11/28/2025 15:01:16,18yrs -30 yrs,5,4,5,3,3,4,5,2,5,3,4,2
11/28/2025 15:01:28,Above 30 yrs,3,1,5,1,5,2,3,1,5,5,1,5
11/28/2025 15:02:13,Above 30 yrs,2,3,4,4,3,1,2,1,2,4,1,4
11/28/2025 15:02:32,18yrs -30 yrs,4,2,5,2,5,3,5,1,5,3,1,1
11/28/2025 15:03:29,Below 18 yrs,3,4,2,1,4,5,5,3,5,2,5,1
11/28/2025 15:04:01,Above 30 yrs,4,1,5,1,5,2,2,1,4,5,1,5
11/28/2025 15:05:11,Below 18 yrs,5,4,2,5,3,5,5,1,4,1,1,4
11/28/2025 15:05:54,Above 30 yrs,4,1,5,1,4,2,2,1,4,5,2,4
11/28/2025 15:06:11,Above 30 yrs,4,1,2,4,4,1,4,1,5,5,4,2
11/28/2025 15:06:39,Above 30 yrs,4,1,5,1,5,2,2,1,4,5,2,5
11/28/2025 15:06:57,Above 30 yrs,3,2,5,5,4,1,1,1,4,5,1,4
11/28/2025 15:07:14,Above 30 yrs,5,2,5,1,5,2,2,1,4,5,1,5
11/28/2025 15:07:46,18yrs -30 yrs,4,2,4,2,3,5,5,2,3,3,4,3
11/28/2025 15:07:51,Below 18 yrs,5,4,2,5,3,5,5,1,4,1,1,4
11/28/2025 15:09:07,18yrs -30 yrs,5,1,3,1,5,5,5,1,4,2,1,1
11/28/2025 15:09:21,18yrs -30 yrs,4,3,2,3,2,4,3,1,4,3,5,1
11/28/2025 15:11:43,Below 18 yrs,3,3,2,2,3,5,4,3,4,1,2,1